part,x_mm,original_area_mm2,original_Iy_mm4,original_Iz_mm4,original_Zy_mm3,original_Zz_mm3,candidate_area_mm2,candidate_Iy_mm4,candidate_Iz_mm4,candidate_Zy_mm3,candidate_Zz_mm3
Under_arm_SO101,12.5,1216.0913939848044,267817.93296157056,55901.26262140437,10300.689729291174,4658.438551783692,1216.0913939848094,267817.93296157377,55901.262621405534,10300.689729291298,4658.4385517837945
Under_arm_SO101,13.5,1201.7717529777765,267649.7772691233,54081.17818117165,10294.222202658588,4506.764848430971,1201.7717529777822,267649.7772691269,54081.17818117235,10294.222202658728,4506.764848431027
Under_arm_SO101,14.5,1182.5271400594297,271352.392566367,51469.245069989935,10374.496767120618,4289.103755832492,1182.5271400594083,271352.3925663527,51469.2450699897,10374.496767120036,4289.103755832475
Under_arm_SO101,15.5,1078.0064276358507,284640.5681360625,47202.68065475882,10700.476670527345,3933.556721229897,1078.006427635804,284640.56813602895,47202.68065475905,10700.476670525833,3933.5567212299165
Under_arm_SO101,16.5,1019.381423262846,297947.9274513995,45041.08954240894,11016.438288907033,3753.424128534076,1019.3814232627915,297947.9274513602,45041.08954240801,11016.438288905274,3753.4241285339986
Under_arm_SO101,17.5,990.01421599296,311598.0170289123,43916.72542236152,11334.63742468234,3659.7271185301242,714.2724745237497,224369.41055663332,42987.56752453593,8161.624204472993,3582.297293710859
Under_arm_SO101,18.5,975.1474557827285,325826.07351442287,43366.669366972055,11663.387761889977,3613.8891139143357,585.3253400696815,194741.63330682367,40652.35301296355,6971.04181424796,3387.696084413019
Under_arm_SO101,19.5,969.9233145799922,340747.1354492049,43198.80460944609,12006.246351183241,3599.9003841205054,518.2294909571151,180943.4854038873,38922.02346351603,6375.554877480523,3243.50195529243
Under_arm_SO101,20.5,969.7176634101959,356282.0120309179,43193.58399886114,12359.812556109173,3599.4653332384264,480.9096753957198,175473.42623287713,37770.57258070528,6087.365018664748,3147.5477150587717
Under_arm_SO101,21.5,969.7161354703728,372211.22793990653,43193.43456265982,12716.099913886692,3599.4528802216496,463.52932674968673,176655.30301763566,37171.193904778804,6035.1926940063495,3097.599492064894
Under_arm_SO101,22.5,969.7141180199483,388524.0768388789,43193.23480947479,13074.625879622217,3599.4362341228966,461.3465855394161,183575.05343163942,37092.82441971451,6177.674145650307,3091.0687016428687
Under_arm_SO101,23.5,966.0521804886512,401922.8568295562,43077.611618420575,13368.204552013634,3589.8002249212677,459.9724465713558,190294.33569526023,37004.654811411165,6329.307775407876,3083.719893292483
Under_arm_SO101,24.5,952.0733204416956,406270.62504456256,42487.794301413465,13453.940822812438,3540.649407774168,453.5166409916509,192679.90895018354,36505.114148018416,6380.731059800753,3042.0926340143487
Under_arm_SO101,25.5,930.8981312679696,404214.3584613869,41474.780387740815,13384.577709727013,3456.231674643172,442.95335287585374,191555.11928176187,35619.443045972555,6342.881063604074,2968.286876443772
Under_arm_SO101,26.5,909.5374753807007,401802.16547504027,40449.48800582811,13304.69952043123,3370.790611761994,432.2732029524252,190230.78310664307,34722.316732036415,6299.024639882161,2893.526293751982
Under_arm_SO101,27.5,888.1767972481331,399184.5500235557,39424.19337060617,13218.019380088268,3285.3493585178135,421.5930307118105,188799.07021655113,33825.188161533384,6251.612811880927,2818.7655179834633
Under_arm_SO101,28.5,866.8160968702689,396353.051276788,38398.89648181468,13124.25713876868,3199.9079149212075,410.91283615401187,187255.75019666762,32928.05733433919,6200.50550984485,2744.004549175474
Under_arm_SO101,29.5,845.4553742471066,393299.2084045901,37373.59733919194,13023.132647007369,3114.4662809851457,400.23261927902803,185596.59263217173,32030.924250324315,6145.5626644843915,2669.2433873679147
Under_arm_SO101,30.5,824.0946293786467,390014.5605768157,36348.295942476485,12914.365755803601,3029.0244567254194,389.5523800868595,183817.36710824416,31133.788909356575,6086.64420697616,2594.482032603895
